SMILES,template
C1(C2=CC=CC=C2)=NOC(N3CCCC3)=C1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
C1(C2=CC=CC=C2)=NOC(C3=CC=CC=C3)=C1,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
O=S(N1C=C(C2=CC=CC=C2)N=N1)(C3=CC=C(C)C=C3)=O,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
O=S(N1C=C(C2=CC=C(OC)C=C2)N=N1)(C3=CC=C(C)C=C3)=O,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
O=S(N1C=C(C2=CC=C(Cl)C=C2)N=N1)(C3=CC=C(C)C=C3)=O,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
O=S(N1C=C(C2=CC=CC=C2F)N=N1)(C3=CC=C(C)C=C3)=O,[*:1]-[#6]1:[#7]:[#8]:[#6](-[#8]-[*:2]):[#6]:1-[H].[#8]=[#16](-[#7]1:[#7]:[#7]:[#6](-[*:3]):[#6]:1-[H])(-[*:4])=[#8]>>[#8]=[#6](-[#8]-[*:3])-[#6]1:[#6](-[*:1]):[#7&H1](:[#6](-[*:3]):[#6]:1-[#7](-[#16](=[#8])(-[*:4])=[#8])-[H])-[H]
CN1N=CC(C2=CC=CC=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=CC=C(C)C=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=CC=C(Cl)C=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=CC=C(Br)C=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=CC=C(OC)C=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=CC=C([N+]([O-])=O)C=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=C(C=CC=C3)C3=CC=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CN1N=CC(C2=CC(C=CC=C3)=C3C=C2)=C1,"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
O=C(OC)C(C1=CC=CC=C1)=[N+]=[N-],"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
O=C(OC)C(C1=CC=C(OC)C=C1)=[N+]=[N-],"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
O=C(OC)C(C1=CC=C(Cl)C=C1)=[N+]=[N-],"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
O=C(OC)C(C1=CC=C([N+]([O-])=O)C=C1)=[N+]=[N-],"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
O=C(C)C(C1=CC=CC=C1)=[N+]=[N-],"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
O=C(OC)C(C(OC)=O)=[N+]=[N-],"[*:3]-[#6]1:[#6H]:[#7]:[#7](-[*:1]):[#6]:1-[*:2].[O,C:4]-[#6](=[#8])-[#6](-[C,c:5])=[#7+]=[#7-]>>[*:2]-[#6]1=[#6](-[*:3])-[#6]=[#7]-[#6](-[#6](-[O,C:4])=[#8])(-[C,c:5])-[#7]-1-[*:1]"
CC1OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
CCCCC1OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
C1(CC2=CC=CC=C2)OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
C1(CCC2=CC=CC=C2)OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
C1(COCC2=CC=CC=C2)OC1,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
COC(C=C1)=CC=C1OCC2OC2,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
BrC(C=C1)=CC=C1OCC2OC2,"[C,c:1]-[#6]1(-[#8]-[#6]-1(-[H])-[H])-[H].[#8]=[#6](-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]>>[C,c:1]-[#6]1-[#6]-[#6]-1(-[C&X3,c:2])-[#6](-[#9])(-[#9])-[#9]"
